,Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
584,Keine Mauern mehr,Simone,Austria,1990,['German'],10.0,58.0,,,
585,Macédomienne,Philippe Lafontaine,Belgium,1990,['French'],12.0,46.0,,,
586,Milas poli (Μιλάς πολύ),Haris Anastasiou,Cyprus,1990,['Greek'],14.0,36.0,,,
587,Hallo Hallo,Lonnie Devantier,Denmark,1990,['Danish'],8.0,64.0,,,
588,Fri?,Beat,Finland,1990,['Swedish'],21.0,8.0,,,
589,White and Black Blues,Joëlle Ursull,France,1990,['French'],2.0,132.0,,,
590,Frei zu leben,Chris Kempers & Daniel Kovac,Germany,1990,['German'],9.0,60.0,,,
591,Horis skopo (Χωρίς σκοπό),Christos Callow & Wave,Greece,1990,['Greek'],19.0,11.0,,,
592,Eitt lag enn,Stjórnin,Iceland,1990,['Icelandic'],4.0,124.0,,,
593,Somewhere in Europe,Liam Reilly,Ireland,1990,['English'],2.0,132.0,,,
594,Shara Barkhovot (שרה ברחובות),Rita,Israel,1990,['Hebrew'],18.0,16.0,,,
595,Insieme: 1992,Toto Cutugno,Italy,1990,['Italian'],1.0,149.0,,,
596,Quand je te rêve,Céline Carzo,Luxembourg,1990,['French'],13.0,38.0,,,
597,Ik wil alles met je delen,Maywood,Netherlands,1990,['Dutch'],15.0,25.0,,,
598,Brandenburger Tor,Ketil Stokkan,Norway,1990,['Norwegian'],21.0,8.0,,,
599,Há sempre alguém,Nucha,Portugal,1990,['Portuguese'],20.0,9.0,,,
600,Bandido,Azúcar Moreno,Spain,1990,['Spanish'],5.0,96.0,,,
601,Som en vind,Edin-Ådahl,Sweden,1990,['Swedish'],16.0,24.0,,,
602,Musik klingt in die Welt hinaus,Egon Egemann,Switzerland,1990,['German'],11.0,51.0,,,
603,Gözlerinin Hapsindeyim,Kayahan,Turkey,1990,['Turkish'],17.0,21.0,,,
604,Give a Little Love Back to the World,Emma,United Kingdom,1990,['English'],6.0,87.0,,,
605,Hajde da ludujemo,Tajči,Yugoslavia,1990,['Serbo-Croatian'],7.0,81.0,,,
606,Venedig im Regen,Thomas Forstner,Austria,1991,['German'],22.0,0.0,,,
607,Geef het op,Clouseau,Belgium,1991,['Dutch'],16.0,23.0,,,
608,SOS,Elena Patroklou,Cyprus,1991,['Greek'],9.0,60.0,,,
609,Lige der hvor hjertet slår,Anders Frandsen,Denmark,1991,['Danish'],19.0,8.0,,,
